node_id,x,y,z,module,root_id
382,420348,189850,67640,17,720575940604798910
383,568810,109100,161380,19,720575940604801993
384,407695,194668,214027,3,720575940604804030
385,632444,171084,143760,14,720575940604806345
386,652483,315644,109027,11,720575940604808736
387,334790,131572,163740,12,720575940604809905
388,727048,170534,112100,8,720575940604810016
389,455521,300257,81433,11,720575940604814526
390,675502,121244,148300,4,720575940604821950
391,493660,170260,75640,13,720575940604824236
392,341506,202290,110440,3,720575940604826802
393,645117,140462,73200,2,720575940604828076
394,616960,195844,70960,34,720575940604831264
395,411560,154776,199720,13,720575940604833196
396,498922,139644,180300,6,720575940604833982
397,433280,190656,216640,24,720575940604836128
398,686489,207343,151040,2,720575940604837041
399,611698,114538,134040,20,720575940604838368
400,315552,148896,153920,3,720575940604838432
401,429007,245021,86760,21,720575940604839200
402,595303,199831,65660,19,720575940604842924
403,668876,187880,187840,1,720575940604843436
404,507036,169888,133200,17,720575940604847392
405,385764,205898,104920,3,720575940604852326
406,641576,171492,143760,14,720575940604860332
407,464808,142412,168800,10,720575940604860873
408,550304,195616,23480,14,720575940604861356
409,689064,209760,155240,23,720575940604863916
410,564682,133830,94820,1,720575940604866476
411,593736,238782,197300,11,720575940604866750
412,523547,104312,140107,17,720575940604868286
413,595490,207978,153740,11,720575940604870577
414,531840,121768,56760,17,720575940604873662
415,389608,194838,181700,29,720575940604874208
416,370433,165048,216467,24,720575940604877484
417,657100,132604,158000,8,720575940604880841
418,614946,161844,174960,14,720575940604884396
419,695784,115752,158640,8,720575940604888497
420,326602,150200,210880,35,720575940604889278
421,605986,354972,157460,20,720575940604893361
422,460264,138540,138040,3,720575940604898988
423,557600,89152,120960,15,720575940604903968
424,600016,160624,180000,11,720575940604906016
425,421360,162936,174800,13,720575940604908972
426,613719,193815,26328,4,720575940604910270
427,429406,268926,69093,11,720575940604911793
428,674710,305710,66700,2,720575940604914353
429,424533,270497,85440,12,720575940604919473
430,703876,165458,100360,8,720575940604921446
