node_id,x,y,z,module,root_id
608,399488,195850,187300,3,720575940605423806
609,640704,177684,143760,14,720575940605424416
610,712840,186520,110560,8,720575940605427134
611,473056,129536,196880,13,720575940605431840
612,461084,229200,212040,11,720575940605435010
613,421952,116864,206400,13,720575940605436262
614,425384,161328,174800,13,720575940605441312
615,603776,332064,51000,7,720575940605443017
616,416256,123360,211080,13,720575940605449929
617,629244,174016,143760,14,720575940605451552
618,637312,179180,143760,14,720575940605452064
619,562804,159170,174240,29,720575940605464766
620,690760,235776,63890,2,720575940605475774
621,471880,155660,104560,6,720575940605480806
622,428204,230552,217520,21,720575940605488305
623,600698,140046,147420,14,720575940605488416
624,443552,128512,213600,13,720575940605491302
625,447947,262854,115120,18,720575940605494560
626,613344,332064,82480,11,720575940605498302
627,627856,177172,143760,14,720575940605507249
628,351290,165144,156320,12,720575940605520062
629,439392,122112,199960,13,720575940605528422
630,649120,160348,182320,10,720575940605531826
631,614400,98624,146000,10,720575940605535666
632,632724,175572,143760,14,720575940605541920
633,461312,149824,220360,13,720575940605544370
634,410528,181664,61520,34,720575940605545602
635,639708,179124,143760,14,720575940605550950
636,429924,150344,214260,13,720575940605551038
637,631992,181040,143760,14,720575940605551718
638,620576,169964,143760,14,720575940605552742
639,543552,125408,147120,11,720575940605552818
640,611742,171974,150800,25,720575940605554354
641,430988,168596,174800,13,720575940605557438
642,478450,114818,175440,13,720575940605559986
643,634832,178624,143760,14,720575940605565886
644,479009,185895,192880,6,720575940605583136
645,687392,200896,46640,23,720575940605587558
646,569728,310144,43000,20,720575940605589378
647,550986,143636,152940,17,720575940605589681
648,502816,99776,148880,37,720575940605591730
649,409264,122043,156333,42,720575940605594814
650,624004,166316,143760,14,720575940605597216
651,335320,117900,176480,12,720575940605597385
652,378525,171475,112540,3,720575940605601214
653,335200,148384,208200,12,720575940605602946
654,642709,191742,74924,2,720575940605604030
655,622144,178576,143760,14,720575940605606274
656,640711,210508,198760,1,720575940605607392
657,682512,193592,199160,2,720575940605611209
658,430436,150304,74240,10,720575940605619628
659,424608,100384,185640,13,720575940605619744
660,424132,151626,222200,13,720575940605620670
661,421508,148072,186160,13,720575940605620926
662,437864,169022,226560,13,720575940605621024
663,438152,160448,174800,13,720575940605625376
664,706057,149071,94027,8,720575940605625958
665,635968,174292,143760,14,720575940605627057
666,644950,244832,155720,2,720575940605633824
667,616416,96960,142840,2,720575940605639810
668,515555,151445,165693,19,720575940605639858
669,526592,96864,118400,6,720575940605640905
670,329536,197376,151480,12,720575940605641830
671,600736,354496,171440,20,720575940605647234
672,472736,283744,39840,21,720575940605648002
673,474644,184256,182680,17,720575940605648306
674,653772,150264,172920,8,720575940605656766
675,638208,177812,143760,14,720575940605664446
676,447354,165396,208260,13,720575940605664702
677,491360,362528,126080,11,720575940605667458
678,715002,179092,119580,8,720575940605672992
679,703728,194618,81380,8,720575940605675808
680,369778,283066,123360,21,720575940605676210
681,391988,134212,127320,27,720575940605676576
682,362312,138402,183940,12,720575940605678368
683,675872,163360,54880,2,720575940605681440
684,679906,161816,180100,8,720575940605688608
685,626048,331424,68160,7,720575940605694240
686,584094,333112,66340,7,720575940605698080
687,348576,148064,127120,12,720575940605702065
688,629046,318838,169780,5,720575940605702176
689,715944,145892,176720,8,720575940605702590
690,598400,356928,163240,7,720575940605703456
691,412705,216390,128433,3,720575940605704550
692,683424,175540,126520,8,720575940605705406
693,423340,159480,222760,13,720575940605705650
