node_id,module,x,y,z,out_degree,pagerank,hodge,pca1,pca2,cluster
165,50,432544,333728,129800,12,0.04249288486381,-1.2460446034560877,0.0573457828725556,0.5231023445070285,8
166,3,350940,262628,115680,31,0.0001387961921171,0.7043771465976286,-0.7635483441053209,-1.7191235070766575,1
167,19,614764,204616,37720,32,0.0011300904769422,0.2633302345196934,-1.6474509677791371,0.8042826669058554,3
168,10,586756,163320,170000,4,0.0002730513340039,-0.0131138765342231,0.6567947826861816,0.378051142805464,8
169,29,431994,234584,195460,73,0.0029642182485632,0.5177520705034859,-0.1568764604166973,-1.9090334452012796,1
170,30,730912,181760,116240,11,0.0305716106925422,-0.6689931501643044,-0.093421001991607,2.0299263327440715,9
171,3,381297,156536,109640,39,0.0007617794892919,-0.5772286313012476,0.6917243062889552,-0.1787547368762728,8
172,13,428192,112512,193480,6,9.135098867916108e-05,-0.112025481749283,1.8473111218042848,-0.538474434096148,4
173,13,470940,207342,40400,191,0.0003063659528568,0.8950734336491747,-3.07191925600904,-2.0557649014705066,6
174,13,412426,168880,216520,4,8.942845406350195e-05,0.0010550332209923,1.626685511656676,-0.948340479276512,4
175,17,597772,145200,152000,18,0.0002334105053878,1.4967176093759715,-0.4979482320289057,-1.010526825164932,1
176,14,641600,240224,20760,27,6.239323012836876e-05,1.874046214819856,-3.174430369388954,-0.5045174650146774,3
177,14,630678,167900,97180,5,0.0001015885259077,-0.1149849767666005,-0.2554342280532996,1.178736919096466,9
178,11,433992,273152,180700,85,0.0004314396654057,0.4718979381998325,-0.7317427035009084,-1.9126608355174368,1
179,5,633824,192800,214040,60,0.0005392823834448,0.5677736508982896,-0.1207076065063298,-0.7269760244037031,8
180,6,555948,144894,142300,44,0.0053831162294786,-0.5841410779509704,0.5999030599950274,0.594025800685832,8
181,5,587424,298876,90800,17,0.0006096218365062,-0.1432503530384017,-1.37477631605869,0.7041820871080928,9
182,7,610176,332672,64280,23,0.0002035803096275,0.6870204440224102,-2.589597091593182,0.0965979800171102,3
183,5,605348,208796,191640,13,0.000584287314975,0.0971710495476484,0.3112315736309853,0.0971526197769803,8
184,6,535850,164638,129140,4,0.0008042272451268,-1.3004242343814632,1.156310856506781,1.5921179382490809,5
185,13,417984,124448,208800,11,0.000101747330537,-0.1320373570821726,1.9132641918849624,-0.7360412864333836,4
186,2,719109,219821,72576,42,0.0003316312380638,-0.3923101138309515,-1.3820091300872923,1.7188887065674152,3
187,6,467552,164448,197480,7,0.0005337015111406,-0.038592257742046,1.2901097225915847,-0.4906776756712073,4
188,25,472658,177696,191240,16,0.0019710316810197,0.1865876709129712,0.8764082035498166,-0.7418928594953539,0
189,6,595808,171488,188480,27,0.0004282991504315,0.4209186229852752,0.2823796385759011,-0.3226406543260432,8
190,17,445106,166932,89120,28,0.0012824917643215,-0.4648359968828203,0.223573403171665,0.2920648664157476,8
191,3,632992,312096,170880,92,0.0002434007915544,0.4677563930941329,-1.8123090935838255,-0.8092749424610534,1
192,8,728960,223520,89680,18,0.0001284582924965,0.5625047248503295,-1.6331096671043637,0.9435828638125192,3
193,1,509754,331040,207900,3,0.0001332465378621,0.6232377822472913,-0.4807428354082989,-1.156378355318224,1
194,2,694068,175202,110600,379,0.016632082268492,-0.6087097486499333,-3.4375604599786285,-1.3863626887893274,3
195,13,423640,170220,174800,6,9.127682667882874e-05,-0.0926320362858341,1.1652008389818205,-0.5469911493531884,4
196,36,419206,189122,88360,11,0.0023534305110614,1.0200020563971508,-0.6646547637556949,-1.1837130184905331,1
197,2,654324,205832,178240,57,0.0001261227535195,0.3738883948796486,-0.5339407427938514,-0.1835571118182775,8
198,10,497406,116772,144560,18,0.0008148627277716,0.1586305740503231,0.7928723057991224,-0.2035765694782847,8
199,13,441816,160752,174800,4,9.031986681491204e-05,-0.1034052755091817,1.2151028861226747,-0.400251526414084,4
200,1,468088,187592,194200,16,0.0007316535797504,0.0468964847361916,0.9249800864085952,-0.6621023632120173,0
201,36,633904,195040,55680,5,0.0122412695426114,-0.1440830582613741,-0.8984197057604068,1.420313613033323,9
202,6,563872,132096,167120,108,0.0007176552480908,0.7164367151587497,-0.4583783789538665,-1.3144068425101103,1
203,2,707964,271477,75453,14,0.0001045008909623,0.3804235935198288,-1.9740107967294631,1.0565707118237788,3
204,25,573248,140000,172680,9,0.0021925065932154,-0.2249879516386508,1.0109444838509014,0.4734752939958761,5
205,51,546536,172008,126600,4,0.0141335290079422,-0.2890787616413358,0.4331243383406704,0.6420903620012469,8
206,13,421584,154946,217780,6,9.124584980992057e-05,-0.1027450726686435,1.7757218280703138,-0.8000160951660115,4
207,20,445536,299360,50480,17,0.0003467625624242,0.2502606018533433,-1.64920884785099,-0.2453358985799564,1
208,13,464928,168864,225640,7,9.079468693952348e-05,-0.1056321814490109,1.611126574299904,-0.6243751065036889,4
209,13,468672,111488,187480,8,9.437258879188208e-05,-0.0430873053360407,1.6088459218027302,-0.3490463823617939,4
210,3,365120,279968,107320,19,0.0001779313002357,0.1876106210347549,-0.606817028298567,-1.000442962088077,1
211,11,456286,285868,52620,36,0.0003755156788587,0.142058835955663,-1.6519707430295507,-0.2387046775015036,1
212,8,715408,186068,110680,7,6.558009109576208e-05,0.8342482580548746,-1.1218029698447065,0.616919611926103,9
213,7,551244,327036,109440,37,0.0003647873489753,0.7448669716037366,-2.037669191195783,-0.7026676758271508,1
214,32,576166,182566,187920,1,0.0023031200741495,-0.5939142500630619,1.1214613670351354,0.762363827557625,5
215,16,409380,192835,221347,7,0.0011012901056791,-0.4244549001222661,1.7316261517276954,-0.645136491596741,4
216,12,442882,97700,170120,11,0.0012023552268946,-0.7092737844423661,2.0016586760395265,0.2505808435552539,5
217,18,472576,213980,124600,36,0.0056011710062005,-0.5235484879126624,0.1151076310895711,0.1358999878812958,8
218,1,632512,335296,113960,14,0.0003619524151118,0.2918410585123295,-1.8017371897708696,0.3703451060604274,9
219,13,472960,114496,193600,9,8.426907386162305e-05,0.0754248626966954,1.5548793646133616,-0.4913712509826577,4
220,44,407540,148924,196920,5,0.0021565897723418,-0.2484548716720593,1.7436995071298045,-0.5951068629002417,4
221,13,463896,127444,192760,7,8.616081724539733e-05,-0.0904973043309802,1.587444922741477,-0.3778768539324392,4
222,20,487840,120256,179200,1,0.0002448765118552,0.2635499919221559,1.261012512867461,-0.4354191010232015,4
223,15,607468,167088,83440,8,0.0029462732702473,-1.418340912443924,0.4653995739871905,2.3678826546806877,9
224,21,526428,353508,192680,15,0.0017949933145089,-0.0345262927879862,-0.577041825426328,-0.4640420879327824,8
225,2,591608,129416,135620,7,0.0004246800526605,-1.301567559028177,1.3270275983381197,1.8997683878435152,5
226,22,561152,346592,204200,0,0.0018031055595699,-0.4784610434470696,-0.0800291902202998,0.2374140932829299,8
227,41,495680,128448,172920,2,0.0077427288951955,-0.4380782356348652,1.5493592738622728,0.2937929514717367,5
228,8,732096,192864,95400,13,0.0001473061822614,0.1740299013993678,-1.036008619393888,1.3907979003984554,9
